term,refined_sentence,sentiment
강제징용,오 어르신은 18세 때 강제징용으로 일본 규슈 군수공장에서 일했으며 원자폭탄 현장을 목격하기도 하는 등 어려운 시기를 겪어왔다.,negative
강제추행,1심 법원은 유영재씨의 강제추행 혐의를 인정하며 죄질이 나쁘고 반성하지 않는다고 판결했다.,negative
강제추행,배우 선우은숙(65)과 파경 후 처형으로부터 강제추행 혐의로 피소된 아는 관련 혐의를 부인하며 법적 대응을 검토 중이다.,negative
강제추행,배우 선우은숙과 유영재는 처형 강제추행 의혹에 대해 '톡으로 이혼 통보를 받았고 이혼 사유를 아직 모른다'고 밝혔다.,negative
강제추행,수원지법 성남지원 형사1부는 23일 친족관계에 의한 강제추행 혐의로 불구속 기소된 유영재에게 징역 2년 6월을 선고했다.,negative
강제추행,텔레그램 ‘박사방’ 운영자 조주빈이 여성을 협박해 강제로 나체 사진을 찍게 했다가 강제추행죄로 추가 기소되자 처벌 조항이 위헌이라며 헌법소원을 냈지만 받아들여지지 않았다.,negative
강제추행,수원지법 성남지원 형사1부는 강제추행 혐의로 불구속 기소된 유 씨에게 징역 2년 6월을 선고하고 법정 구속했다.,negative
강제추행,부산고법 제1형사부는 23일 성폭력 범죄 특별법 위반(13세 미만 강제추행) 혐의로 기소된 A씨에게 원심과 같은 징역 7년을 선고했다.,negative
강추위,강추위에도 열광적인 지지자들의 환호 속에 치러진 취임식 장면은 한마디로 세기적 '퍼펙트 스톰'의 현실화이면서 '현실주의'의 귀환이라고 느껴졌다.,negative
강추위,2025년 설 연휴 기간에는 비교적 온화한 날씨가 이어지다가 강추위와 함께 눈이 내릴 전망이다.,negative
강추위,전북지역은 연휴 중후반대에 눈ㆍ비를 동반한 강추위가 지속될 전망이다.,negative
강추위,28일부터는 강추위가 찾아올 것으로 전망된다.,negative
강추위,겨울철 강추위에도 여전히 연탄에 의존해 추위를 견뎌내는 기후 취약계층의 어려움이 가중되고 있다.,negative
강추위,주말을 마지막으로 또다시 강추위가 찾아올 예정이다.,negative
강화군,인천시가 강화군과 옹진군 도서지역 주민들의 건강권 보장을 위해 ‘1섬 1주치병원’ 민관협력 도서지역 무료진료사업을 추진하고 있다.,neutral
강화군,강화군 창업 일자리센터가 지역 역량 강화를 위해 시행하는 ‘팀 창업패키지 지원사업’ 접수를 마감한 결과 총 6개 팀 모집에 17팀이 신청하며 2.8 대 1의 경쟁률을 기록했다.,neutral
강화군,강화군이 지난 20일 강화공설운동장에서 개최한 ‘2024년 강화 봄 콘서트’가 5500여 명의 관객이 참석한 가운데 안전사고 없이 성황리에 마무리됐다.,neutral
강화군,그랜드코리아레저(GKL) 임직원 30여 명이 강화군 내리 고추재배 농가를 방문해 수확철 일손돕기 봉사활동을 실시했다고 23일 밝혔다.,neutral
강화군,23일 인천시와 인천소방본부 등에 따르면 강화군 불은면의 누적 강수량은 67.4㎜이다.,neutral
강화군,"국민의힘 인천시당은 지난 22일부터 23일까지 강화군 선거구의 인천시의원 보궐선거 후보자를 모집한 결과, 총 4명이 신청서를 제출했다고 밝혔다.",neutral
개그맨,개그맨 황현희(왼쪽부터)가 지난달 22일 오후 서울 중구 프레스센터에서 열린 유명인 사칭 온라인 피싱범죄 해결 촉구를 위한 기자회견에서 발언하고 있다.,neutral
개그맨,21일 유튜브 채널 '일요서울TV'의 라이브 방송에 고정 출연자로 합류한 이혁재는 개그맨 출신임을 강조하며 정치인들과 친하다고 밝혔다.,positive
개그맨,개그맨 이혁재가 지난해 '고액 체납자' 명단에 이름을 올린 후 윤석열 대통령의 구속 수감에 대해 '망신 주기'라고 비판하며 옹호했다.,neutral
개그맨,경북 영주시는 '나는 자연인이다'의 TV 시사 교양 프로그램 진행자인 개그맨 이승윤씨가 오는 24일 영주시민회관에서 인성아카데미 강연자로 나선다고 21일 밝혔다.,neutral
개그맨,"‘개그맨’은 떡상을 꿈꾸는 BJ 근성(허지원)이 실수로 폭로한 학폭 고백 영상으로 한순간에 기회를 잡게 되고, 걷잡을 수 없이 방송의 수위를 높여가면서 벌어지는 라이브 코미디 영화다.",neutral
개그맨,밀알복지재단은 재단 공식 인스타그램과 유튜브를 통해 개그맨 김재우가 등장하는 ‘2024 에너지나눔대축제’ 홍보 영상을 공개했다고 22일 밝혔다.,neutral
개인정보,SK텔레콤이 자사 고객의 유심(USIM) 관련 일부 정보가 악성코드에 의해 유출된 정황을 포착하면서 개인정보 유출 가능성과 이중 인증 명의 도용 우려가 제기되고 있다.,negative
개인정보,카카오페이가 4000만명에 달하는 개인정보를 본인 동의 없이 해외 사업자에게 무단 전송했다는 이유로 59억6800만원의 과징금을 받았다.,negative
개인정보,개인정보보호위원회는 22일 제2회 전체회의를 열고 개인정보 보호법을 위반한 SK스토아와 동행복권에 대해 총 19억 4280만 원의 과징금을 부과했다고 밝혔다.,neutral
개인정보,개인정보보호위원회가 카카오페이와 애플에 대해 개인정보 유출 관련 과징금을 부과하였다.,neutral
개인정보,개인정보위가 조만간 중국 직구 기업들의 개인정보 처리 위반 여부 조사 결과를 발표할 예정이다.,neutral
개인정보,고학수 개인정보보호위원회 위원장이 미국 워싱턴DC에서 개인정보 관련 현안을 논의하기 위해 국제 개인정보 전문가 협회 글로벌 프라이버시 서밋에 참석한다.,neutral
개인정보,포인트 빌미로 과도한 개인정보 요구와 이용자들의 무분별한 사용 경계가 제기되고 있다.,negative
개정안,정치권도 필요성에 공감하며 국힘이 개정안을 발의했고 민주당은 대선 공약에 포함시켰다.,neutral
개정안,23일 우주개발 진흥법 및 시행령 개정안이 시행되어 우주산업 분야 투자진흥지구 지정 및 지원 근거를 마련했다.,neutral
개정안,상법 개정안 재추진해 대주주 지배권 남용 견제,neutral
개정안,정부가 의약품 수급 안정화 등을 위해 처방약을 같은 성분의 다른 약으로 변경할 수 있는 대체조제 활성화 방안을 담은 개정안이 입법예고됐다.,neutral
개정안,더불어민주당 강훈식 국회의원이 저출생과 고령사회에 대응하기 위해 '저출생고령사회 대응 3법'인 '고령자고용법 개정안'을 대표발의했다.,neutral
개정안,"권익위 전원위원회가 개정안을 의결하여 농축수산물 선물가액 인상 방안을 일단 보류하고, 국무회의를 거쳐 공포ㆍ시행하며, 농축수산물 선물가액 한도를 15만 원에서 30만 원으로 조정하는 방안을 추후 논의하기로 했다.",neutral
개천절,내년 추석 연휴는 10월 3일 개천절을 시작으로 해서 총 7일간의 연휴가 이어진다.,neutral
개천절,금요일인 개천절(3일)을 시작으로 한글날(9일)까지 총 7일을 기념하는 기간이다.,neutral
개편안,지난달 31일 서울 중구 은행회관 국제회의장에서 열린 ‘보험 판매수수료 개편안 설명회’에 법인보험대리점(GA) 업계 관계자들이 참석한 모습이 개편안과 관련된 핵심 내용이다.,neutral
개편안,이날 오전 10시와 오후 2시 두 차례에 걸쳐 진행된 설명회는 시내버스 노선개편 방향 및 주요 개편안에 대해 설명하고 시민들의 의견을 들었다.,neutral
개편안,"민주노총과 한국노총, 참여연대 등 306개 노동 시민단체로 구성된 공적연금강화국민행동은 어제 ‘더 내고 더 받는’ 방식의 국민연금 개편안에 대해 조속한 입법을 촉구했다.",neutral
개편안,"기획재정부를 '예산-정책'으로 분리하는 개편안에 이어, 해양수산부의 부산 이전까지 더불어민주당의 공약 테이블에 오르면서, 청사 내부에 뒤숭숭한 분위기가 감지되고 있다.",neutral
개편안,"전세 보증요율 및 할인제도 개편안(자료=HUG)에서는 전세 보증금이나 전세가율이 높아 보증 사고 발생 위험이 클수록 보증료를 올리고, 위험이 적을수록 보증료를 낮추는 내용을 포함하고 있다.",neutral
개편안,중소기업계는 산업용 전기요금 인상안에 대한 우려를 표하며 요금 개편안이 담긴 국회 입법을 촉구했다.,neutral
개편안,HUG는 이날 이사회를 열고 전세보증금반환보증 보증료율 및 할인 제도 개편안을 의결했다.,neutral
개헌안,국토균형발전과 관련하여 개헌안에 이를 반영할 것을 한동훈 국민의힘 대선경선 후보가 밝혔다.,neutral
개헌안,진보당의 김재연 대선후보는 이번 대선이 국민의 다양한 목소리를 담는 개헌안에 대한 논의가 이루어지고 국민이 덜 걱정하고 살 수 있는 국가를 만들 대통령을 뽑는 선거가 돼야 한다고 밝혔다.,neutral
개헌안,인천개헌운동본부에서 요구해 온 개헌안의 골자는 지방자치단체의 ‘지방정부’ 강화를 포함한다.,neutral
개혁안,국민연금 개혁안을 두고 ‘더 내고 더 받는’ 소득보장안이 시민들의 지지를 받는 것으로 나타났다.,positive
개혁안,국민연금 개혁 공론화 과정에 참여한 시민 10명 중 6명이 ‘더 내고 더 받는’ 안을 선택한 가운데 이 같은 개혁안이 중장기적으로 연금 재정 악화를 불러올 수 있다는 논란이 일고 있다.,negative
개혁안,국민연금 개혁 공론화 과정에 참여한 시민 대표단 500명의 절반 이상이 '더 내고 더 받는' 방식의 국민연금 개혁안을 선호하는 것으로 나타났다.,neutral
개혁안,천하람 개혁신당 비례대표 당선인은 23일 국회 연금개혁특별위원회 산하 공론화위원회 시민대표단이 '더 내고 더 받는' 국민연금 개혁안을 더 많이 지지한 설문 결과에 대해 '세대이기주의 개악'이라며 반발했다.,negative
개혁안,"정부의 국민연금 개혁안이 ‘더 내고, 더 받는’ 소득보장안으로 방향을 잡은 가운데 제21대 국회 임기 안에 완료할 수 있을지, 골든타임 사수에 관심이 쏠린다.",neutral
거래대금,"거래대금, 트럼프 당선 전 2조~3조원대→당선 후 14조9000억 원 늘어",positive
거래대금,대량 거래대금 - 에스와이스틸텍,neutral
거래대금,거래대금 대비 유출액이 커 주의가 필요하다는 지적이 나오고 있다.,neutral
거래대금,"가상자산시장 하루평균 거래대금이 10월 3조4000억원에서 12월 17조2000억원으로 증가했으며, 가격 변동성도 커지고 있다.",neutral
거래대금,지난해 11월 24일 미국 대통령 선거에서 가상자산에 대해 우호적 입장을 표명한 도널드 트럼프 후보가 당선된 이후 규제 완화 기대감 등이 작용하여 일평균 거래대금이 크게 증가했다.,positive
거래대금,대신증권은 해외 주식의 월간 거래대금이 500만원 미만인 고객이 1000만원 이상 거래하면 투자지원금을 제공하는 ‘해외주식 클래스업 리그 이벤트’를 진행한다고 밝혔다.,neutral
거래대금,익명 채팅 탐정 플랫폼 '탐정톡'이 거래대금을 안전하게 보관하는 안전거래 기능을 출시했다고 23일 밝혔다.,positive
거래소,피해 유형 1위는 거래소 관련 리딩방도 44% 달해.,neutral
거래소,유의 기간 동안 거래소만 수익을 내고 거래 보호 기능이 떨어진다는 지적이 제기되고 있다.,negative
거래소,거래소는 공시 번복에 따른 불성실공시법인 지정 검토 중이다.,neutral
거래소,코인마켓 거래소 줄폐업을 두고 은행권에서도 주시하고 있다는 목소리가 나고 있다.,neutral
거래소,"규제당국, 거래소, 학계와 머리맞대며 시세교란과 불공정거래를 없애고 올바른 투자방법을 알리기 위해 앞장서고 있다.",neutral
거래소,국내 코인마켓 거래소 인엑스(INEX)가 한국인터넷진흥원(KISA) ISMS 인증위원회의 심의를 통해 정보보호관리체계(ISMS) 본 인증을 통과했다고 21일 밝혔다.,neutral
거래소,거래소가 자율적으로 상장 결정과 사업 확장을 추진하면서 상폐 과정에서 투자자 피해를 줄이기 위해 노력해야 한다.,neutral
거짓말,카멀라 해리스 미국 부통령이 대학생 때 햄버거 체인에서 아르바이트를 했다는 것은 거짓말이라는 도널드 트럼프 전 대통령의 주장에 대해 해리스 측은 이를 부인하며 사실이 아니라고 밝혔다.,negative
거짓말,10대 감성 그린 '4월은 너의 거짓말'이 기대작으로 속속 등장하고 있다.,negative
거짓말,"9개월 동안 임신했다고 주변에 거짓말을 하고 병원 잠입해 아기를 훔쳤으며, 경찰의 빠른 수사로 4시간 만에 덜미를 잡혔다.",negative
거짓말,수원지검은 대북송금 의혹 관련 이화영 전 평화부지사의 ‘검찰청 술자리 회유’ 주장에 대해 ‘거짓말’을 넘어선 사실관계 확인이 필요하다고 밝혔다.,negative
거짓말,23일 방송하는 MBN ‘고딩엄빠5’ 19회에서는 ‘청소년 엄마’ 양지영과 남편 유우암이 남편의 거짓말로 인해 둘째를 임신했음에도 이혼 위기에 직면했다고 고백한다.,negative
거짓말,윤 대통령의 주장과 관련자들의 주장이 엇갈리면서 거짓말 논란이 커지고 있다.,negative
건강관리,한 해를 마무리하고 새로운 한 해를 준비하는 시기에 건강관리를 잘 챙기는 것이 중요하다.,positive
건강관리,김관영 전북특별자치도지사가 노인복지관에서 배식봉사를 하며 어르신들의 건강관리 상황을 살펴보고 있다.,positive
건강관리,건강관리의 기본은 식습관 관리와 꾸준한 운동이듯 자산관리도 마찬가지입니다.,positive
건강관리,에이아이포펫은 AI 기술을 활용한 반려동물 건강관리 앱 ‘티티케어’의 대대적인 업데이트를 실시했다.,positive
건강관리,부산 남구 대연4동 행정복지센터는 사회적 고립으로 건강관리가 필요한 어르신에게 규칙적인 걷기 실천을 유도하기 위해 걷기동아리 「걷기 4랑해」를 운영할 예정이다.,positive
건강보험,"최근 우리나라 건강보험 재정지출이 정부 지출을 상회하는 등 급격하게 증가하고 있는 가운데, 1인당 건보 진료비 지출이 2009년 대비 28% 증가했고, 과잉진료 통제의 필요성이 제기되고 있다.",neutral
건강보험,향후 건강보험 정식 등재도 추진한다.,positive
건강보험,권정현 KDI 연구위원은 건강보험 지출이 고령화나 병원 쇼핑이 아닌 병원들의 과잉 진료로 인한 의료 단가 상승으로 인해 증가했다고 발표했다.,neutral
건강보험,"건강보험 개혁, 환자권리보장 약속도",positive
건강보험,"올해 ‘건강보험 약제 급여적정성 재평가’ 대상이 된 국내 1, 2호 천연물의약품 ‘조인스정’과 ‘스티렌정’이 약가 재평가 대상에 포함되었다.",neutral
건물주,자본금 거의 안 들이고 ‘건물주’로 작년 구속 이후 재판 중인 서울 동대문구의 전세사기 사건이 계속되고 있다.,neutral
건물주,경기남부경찰청 부천 호텔 코보스 화재사고 수사본부는 업무상 과실치사상 혐의로 건물주 A씨를 구속 송치했다고 밝혔다.,neutral
건물주,업무상 과실치사 상 혐의로 건물주 등 4명이 검찰에 구속 송치됐다.,negative
건물주,경기 부천 호텔에서 투숙객 7명이 숨진 화재 사건과 관련해 경찰이 건물주 등 4명을 검찰에 넘겼다.,neutral
건물주,당진시에서 다세대 건물에 전세로 입주해 살고있는 90여 가구의 주민들이 건물주의 갑작스러운 사망으로 전세보증금을 돌려받기 힘든 위기에 놓였다.,negative
건물주,오래되어 구조적 기능적으로 문제가 발생할 경우 건물주는 부수고 새로 짓느냐 아니면 잘 고쳐 쓰느냐를 고민하기 마련이다.,neutral
건설 현장,건설 현장 최적 안전 관제 모니터링 AI 서비스가 코오롱글로벌 리벨리온 위시 컨소시엄 프로젝트를 통해 완성되었다.,neutral
건설 현장,지난 17일 중국 장쑤성 화이안에서 촬영된 아파트 건설 현장.,neutral
건설 현장,건설 경기 침체가 장기화하면서 건설 현장에 모래를 공급하는 인천 남항 모래부두의 물동량이 크게 줄어든 것 같다.,neutral
건설 현장,"울산 S-OIL 샤힌 프로젝트 건설 현장 가보니 2026년 6월 기계적 준공 목표와 TC2C 신기술 최초 상업 가동이 예정되어 있으며, 석유화학 비중을 늘려 정유사업을 다각화하는 국내 최대 규모의 프로젝트이다.",neutral
건설 현장,지난해 3월 대통령이 참석한 기공식을 끝으로 베일에 쌓였던 에쓰오일 '샤힌 프로젝트' 건설 현장이 약 1년 6개월 만에 모습을 드러냈다.,neutral
건설 현장,건설 현장에 하루 4000여명이 근무하고 있는데 작업이 본격화되는 내년 3분기쯤이면 1만7000여명이 투입될 것으로 보입니다.,neutral
건설노조,민주노총 소속 전국플랜트 건설노조 포항지부는 포항시가 노조와 사업장 간의 임단협 중재에 나서야 한다고 주장했다.,neutral
건설노조,민주노총 강원본부와 건설노조 강원본부는 경찰청의 강릉지청 CCTV 유출 사건 수사 방치와 은폐 조작 음모를 규탄하며 즉각적인 수사를 촉구하는 집회를 열었다.,negative
건설노조,고(故) 양회동 건설노조 강원지부 3지대장의 분신 사망 1주기를 앞둔 노동계가 폐쇄회로 TV 유출 사건에 대한 신속한 수사를 촉구했다.,neutral
건설사,올해 서울에서 처음으로 성사된 건설사의 정비사업 수주 경쟁은 용산 정비창 전면1구역에서 펼쳐진다.,neutral
건설사,"주거용으로 사용되는 생활형 숙박시설에 대한 이행강제금이 올해 연말부터 부과될 예정인 가운데, 마곡 롯데캐슬 르웨스트 수분양자들이 건설사와 분양대행사 등을 상대로 계약 취소를 위함.",negative
건설사,정부의 공급망 위기 극복 방침에 따라 한국 건설사를 비롯한 국내 업체들이 호주의 대형 희토류 광산 개발 프로젝트에서 배제될 위기에 처한 것으로 확인됐다.,neutral
건설사,"공사비 부담으로 건설사가 소극적이어서 계양~강화고속도 7공구 등 입찰이 실패했고, 하반기 추진 예정인 승기하수처리장 현대화 사업의 지연 우려가 제기되고 있다.",neutral
건설사,건설사 등 국내 업체의 우르겐치공항 개발 및 운영 참여가 예상된다.,neutral
건설사,삼성전자가 미국 유력 건설사인 '클레이턴 홈 빌딩 그룹'과 생활가전 공급 계약을 체결했다고 23일 밝혔다.,neutral
건설사,정부와 업계는 공사비 증액 요구를 수용하여 건설사들이 교육시설 임대형 민자사업(BTL)이 정상 궤도에 진입할 수 있도록 조치를 취했다.,neutral
건설현장,고레로보틱스는 건설현장 건설자재 새벽배송 서비스를 개발하며 UCLA RoMeLa의 데니스홍 교수와 업무 협약을 체결했다.,neutral
건설현장,[보령]고용노동부 보령지청은 한국산업안전보건공단 대전세종광역본부와 함께 결성한 안전문화 실천추진단이 추락사고 위험이 높은 봄철을 맞아 보령시 일대 건설현장에서 추락재해 예방과 위험 표지판 부착 캠페인을 전개했다.,neutral
건설현장,국가철도공단이 지난 22일 무안공항역에서 호남고속철도 건설현장서 재난대응 안전한국훈련을 성공적으로 마쳤다.,neutral
건설현장,"강서구 건설현장서 문제점 점검이 이루어지고 있으며, 완충녹지 점용허가 해결이 나설 것으로 보인다.",neutral
건설현장,전라남도는 2024년 집중안전점검 기간인 22일부터 6월 21일까지 건설현장 등 1688개소에 대해 집중안전점검을 실시한다고 밝혔다.,neutral
건설현장,삼표산업은 지난 15일 경기도 화성시 기술연구소에서 건설현장 책임 감리를 비롯한 관계자 50여명이 참석한 가운데 ‘블루콘 윈터’ 적용을 위한 성능 검증 시험을 가졌다고 22일 밝혔다.,neutral
건설현장,롯데케미칼은 지난 17~19일 이 대표가 인도네시아 석유화학단지(LINE) 프로젝트 건설현장을 둘러봤다고 23일 밝혔다.,neutral
건조기,삼성전자는 BESPOKE AI 건조기를 포함한 5종이 ‘이노스타 그린스타’에 선정되었다고 21일 밝혔다.,neutral
건조기,대구강서소방서는 산불재난 국가위기경보 '주의' 단계가 발령 중인 지난 19일 달서구 이곡동 소재 와룡산 일원에서 봄철 건조기 대비 유관기관 합동소방훈련과 산림화재 예방 캠페인을 실시했다.,neutral
건조기,"대상은 고객이 매월 일정 금액을 내고 사용하는 구독 가전으로, 건조기를 포함한 총 열 품목이다.",neutral
건조기,경남 함안군에 효성첨단소재의 탄소섬유로 제작된 농산물 건조기가 설치됐다.,neutral
건조기,"삼성전자는 클레이턴사가 신규 공급하는 주택에 냉장고, 식기세척기, 오븐, 전자레인지 등으로 구성된 키친 패키지를 공급하고, 입주자가 세탁기와 건조기도 추가로 선택할 수 있다.",neutral
건조기,부산의 도료 건조설비 제조사 쓰리텍은 복사파 건조 방식을 도입한 ‘HSWG 지능형 건조기’를 개발하여 에너지 저감을 실현한 강소기업이다.,positive
건조기,"LG전자는 업가전 선포 이후 세탁기, 건조기, 냉장고, 식기세척기, 에어컨 등 총 24종의 업가전을 출시하고 업그레이드 콘텐츠 426개를 배포했다고 밝혔다.",neutral
건축물,지역의 우수 건축물을 선정해 시상하는 ‘지역 건축상’이 최근 광역지자체를 넘어 시ㆍ군 단위까지 확대되고 있다.,neutral
건축물,건축물 대형ㆍ고층화로 신공법 적용이 안전과 직결되므로 선진화가 서둘러야 한다.,neutral
건축물,"광주시가 2033년까지 3조6431억원을 투입해 건축물 녹색설계와 친환경차 전환, 중소기업 온실가스 감축에 동참하는 등 기후위기 대응을 위한 10개년 기본계획을 추진한다.",neutral
건축물,창의적 디자인 건축물로 변화 유도를 통해 강동 잠재력 반영 브랜드 가치가 상승하고 있다.,positive
건축물,"멜코(Melco) 리조트 & 엔터테인먼트는 한국인 여행객들에게 예술품 같은 건축물, 미식, 시네마, 액티비티 등 콘텐츠로 럭셔리 리조트의 진면목을 보여주겠다는 비전을 제시했다.",positive
건축물,"잇단 붕괴사고로 인해 건축물 안전에 대한 국민적인 우려가 커지자, 일부 공공기관에서는 구조안전성을 높이기 위한 변화의 움직임을 보이고 있다.",neutral
건축물,"23일 시에 따르면, 건물 신축시 허가 승인 후 건축물의 용도, 면적 등 필요한 서류를 관할지자체에 신고해야 하며, 제출된 서류검토와 현장 조사를 거친 후 해당건물의 주소 고유번호를 부여해 결정 고시한다.",neutral
검경 수사권,"검경 수사권 조정으로 경찰의 수사 부담이 커진 데다, 관련 대책 마련이 시급하다는 지적이 나온다.",neutral
검경 수사권,문재인 정부의 초대 민정수석으로 검경 수사권 조정 등 검찰개혁을 주도했다.,neutral
검경 수사권,미제사건 비율이 높아진 이유로는 2021년 검경 수사권 조정으로 인해 사건량이 증가해서다.,neutral
검사들,"인력난을 겪고 있는 공수처가 검사 7명에 대한 공개모집에 나섰지만, 기존 검사들에 대한 연임안이 재가되지 않으면 수사 공백이 불가피하다는 지적이 나온다.",neutral
검사들,채상병 사망사건 수사외압 의혹과 김건희 여사 공천개입 의혹 등 주요 사건을 수사하는 검사들의 임기 만료가 다가오고 있지만 대통령실의 연임 재가가 이루어지지 않고 있다.,neutral
검사들,강 씨는 검사들을 믿으며 성실하게 조사를 받고 진실을 밝혀달라고 말했다.,positive
검사들,검찰의 김건희 여사 ‘출장 조사’ 과정에서 수사 검사들이 휴대전화를 사전에 제출했다는 보도가 나오자 야당은 “검사가 오히려 휴대전화를 압수당한 게 아니냐”고 비판했다.,neutral
검사들,더불어민주당이 김건희 여사 주가조작 의혹 관련 수사를 제대로 하지 않았다며 검사들을 대거 고위공직자범죄수사처에 고발했다.,neutral
검사들,윤석열 대통령 부인 김건희 여사의 도이치모터스 주가조작 의혹 사건에 대해 무혐의 결론을 내려 야당에 의해 탄핵소추된 검사들의 헌법재판소 탄핵심판 변론준비절차가 마무리됐다.,neutral
검사소,전남 고흥에 시범 운영 중인 마른김 검사소가 김 생산량을 검사하고 있다.,neutral
검사장,창원지방검찰청 검사장 정유미는 설 명절을 맞아 피해자 30가정에 사랑나누기 생필품을 전달하며 위로와 격려를 했다.,neutral
검사장,최근 태국 북동부 카셋 위사이 지역 군 모집 센터 징병 검사장에 성전환 수술을 받은 트렌스젠더 여성인 파리다 케라유판과 칸통 파사르아폰이 나타나 주목을 받았다.,neutral
검사장,국립농산물품질관리원 전북지원은 2024년산 공공비축 포대벼 매입검사를 전북 14개 시‧군 317개 검사장에서 실시한다고 밝혔다.,neutral
검사장,대검찰청 마약 조직범죄부(부장 노만석 검사장)는 태국 마약청(ONCB)과의 공조수사를 통해 태국에서 필로폰을 밀반입시킨 한국인 마약발송책 A(44)씨와 B(41)씨 2명을 현지에서 검거 한국으로 강제송환했다고 23일 밝혔다.,neutral
검사장,대검찰청 마약 조직범죄부(부장 노만석 검사장)는 보이스피싱범죄 피해를 예방하기 위해 ‘찐센터’의 카카오톡 채널을 지난 3일 개설했다고 밝혔다.,neutral
검수완박,검수완박 기간 적발 줄었다가 2년 전 검수원복 후 1만건 급증하는 등 수사권 개선이 필요하다.,negative
검수완박,검수완박(검찰 수사권 완전 박탈)을 위한 쇄빙선을 자처하던 조국혁신당이 이화영 전 경기도 평화부지사의 ‘수원지검 술판 회유’ 논란에 대해서는 침묵 기조다.,positive
검정고시,2024년도 제2회 초졸 중졸 고졸 검정고시 원서 접수가 지난달 17일 인천 남동구 인천교육청에서 시작되었다.,neutral
검정고시,기탁된 온누리 상품권은 익산시학교밖청소년지원센터에 등록된 학교 밖 청소년들이 검정고시를 준비하는데 사용될 예정이다.,neutral
검정고시,"올 해엔 2025학년도 대입에서 의대 정원이 기존보다 1509명 늘어난 데다 앞으로 더 증원될 가능성이 높은 만큼, 학교를 관두고 검정고시를 준비하는 학생들이 늘어나고 있다.",neutral
검정고시,올해 4년제 대학 222곳에 입학한 검정고시 출신 신입생은 9256명으로 해당 정보가 대학알리미에서 공시된 2013학년도 이후 가장 많았다.,neutral
검정고시,신종 코로나바이러스 감염증(코로나19) 확산기를 거치며 검정고시를 보고 대학에 진학하는 신입생도 급증하고 있다.,neutral
검정고시,횡성군청소년상담복지센터는 ‘학교 밖 청소년’을 대상으로 2025년 고졸 검정고시 준비반을 마련해 건전한 성장을 유도한다.,neutral
검정고시,고졸검정고시반은 오는 4월 예정된 고졸 검정고시에 응시할 대상자들을 위해 22일부터 3월말까지 온라인 교육을 실시한다.,neutral
검찰 개혁,"더불어민주당 유튜브 채널 영상 캡처에서 검찰 개혁을 신속하게 해주고, ‘김건희 특검’부터 ‘채 상병 특검’까지 언급했다.",positive
검찰 수사,SM엔터테인먼트 시세조종 의혹으로 검찰 수사를 받은 김범수 경영쇄신위원장이 구속된 23일 경기 성남시 카카오 판교 아지트 모습 연합뉴스,negative
검찰 수사,강혜경씨가 홍준표 전 대구시장의 불법 여론조사 의혹에 대한 증거를 공개하며 검찰 수사를 촉구하고 있다.,neutral
검찰 수사,검찰 수사가 진상 규명에 효율적이라 판단한다.,neutral
검찰 수사,SM엔터테인먼트 시세 조종 의혹과 관련해 검찰 수사를 받아온 카카오 창업자 김범수 경영쇄신위원장이 22일 오후 구속 전 피의자 심문을 마친 후 서울 양천구 남부지방법원을 나서고 있다.,neutral
검찰 수사권,검수완박(검찰 수사권 완전 박탈)을 위한 쇄빙선을 자처하던 조국혁신당이 이화영 전 경기도 평화부지사의 ‘수원지검 술판 회유’ 논란에 대해서는 침묵 기조다.,neutral
검찰 인사,복무 평정 없이 검찰 인사를 한 적은 지금까지 없었다.,neutral
검찰 인사,실제로 인사 규정을 찾아보니 검찰 인사의 예측 가능성과 공정성에 대한 내용이 포함되어 있다.,neutral
검찰 인사,이 총장은 이러한 검찰 인사에 대해 설명하였다.,neutral
검찰 조사,"박지원 더불어민주당 의원은 검찰 조사 자체에 대한 불신을 드러내며, 검찰이 조사를 제대로 했겠냐고 비판했다.",negative
검찰 조사,"金 여사 검찰 조사, 영부인의 수사농단",neutral
검찰 조사,"검찰 대면조사 진술 윤석열 대통령 배우자 김건희 여사가 검찰 조사 과정에서 최재영 목사로부터 받은 화장품에 대해 “미국의 할인매장 등에서 사온 것으로 인식했고, 성의를 거절하기 어려워 받았다”는 취지의 진술을 한 것으로 전해졌다.",neutral
검찰 조사,이성윤 더불어민주당 의원은 윤석열 대통령 배우자 김건희 여사에 대한 검찰 조사를 둘러싼 논란에 대해 '한 사람을 조사하면서 어떤 시기는 보고를 안 하고 어떤 시기는 보고를 하는 건 말이 안 된다'고 지적했다.,neutral
검찰 조사,김건희 여사가 지난 주말 검찰청사가 아닌 제3의 장소에서 비공개 검찰 조사를 받은 것을 두고 더불어민주당 지도부가 날을 세웠다.,neutral
검찰 조사,야권은 22일 윤석열 대통령의 부인 김건희 여사의 검찰 조사를 비공개로 받은 것에 대해 맹공을 퍼부으며 특검을 추진하겠다고 밝혔다.,negative
검찰 조사,윤석열 대통령 부인 김건희 여사 측이 검찰 조사에서 최재영 목사로부터 받은 양주와 화장품 등 선물들이 경호 지침에 따라 폐기된 것으로 알고 있다고 진술한 것으로 알려졌다.,neutral
검찰개혁,민주당이 중점적으로 추진하는 검찰개혁과 김건희 특검에 대한 발언이 쏟아졌다.,neutral
