term,synthetic_sentence,sentiment
가사도우미,최근 일부 가사도우미의 불성실한 근무 태도와 신뢰성 문제로 인해 이용자들의 불만이 크게 증가하고 있다.,negative
백석역,백석역 인근에서는 최근 범죄와 안전사고가 잇따라 발생해 주민들의 불안감이 커지고 있다.,negative
타미플루,"최근 일부 환자들 사이에서 타미플루 복용 후 심각한 부작용이 보고되면서, 해당 약물에 대한 우려의 목소리가 커지고 있다.",negative
부스터샷,최근 실시된 부스터샷 접종 이후 예상치 못한 부작용 사례가 잇따라 보고되면서 시민들의 불안과 우려가 커지고 있습니다.,negative
국가교육회의,최근 국가교육회의의 무책임한 정책 결정이 교육 현장의 혼란을 가중시키며 많은 학부모와 교사들로부터 비판을 받고 있습니다.,negative
도르지 소장,최근 여러 논란에 휩싸인 도르지 소장은 부적절한 언행으로 인해 공직자로서의 신뢰를 크게 잃었다는 비판을 받고 있다.,negative
태풍 다나스,"태풍 다나스가 한반도에 상륙하면서 많은 지역에서 피해가 발생했고, 주민들은 심각한 불안과 불편을 겪고 있다.",negative
신규 확진자,최근 들어 신규 확진자가 빠르게 증가하면서 시민들의 불안감과 사회적 긴장감이 다시 높아지고 있습니다.,negative
신천지 교인,최근 코로나19 확산의 주요 원인으로 지목된 신천지 교인들의 무책임한 행동이 사회적 비난을 받고 있습니다.,negative
공수처법,최근 논란이 된 공수처법은 오히려 권력 남용과 정치적 편향성 문제를 심화시킨다는 비판이 거세지고 있습니다.,negative
모해위증,모해위증 사건이 반복적으로 발생하면서 사법 시스템에 대한 국민의 신뢰가 심각하게 훼손되고 있다는 우려가 커지고 있습니다.,negative
거부자,정부의 정책을 무조건적으로 반대하는 거부자는 사회 발전을 저해하고 건설적인 논의를 어렵게 만든다는 비판이 제기되고 있습니다.,negative
보건용 마스크,최근 시중에 유통되는 보건용 마스크에서 기준치 이상의 유해물질이 검출되어 시민들의 건강에 대한 우려가 커지고 있다.,negative
자가격리자,최근 자가격리자가 방역 지침을 무시하고 외출하는 사례가 잇따라 사회적 불안과 시민들의 불만이 커지고 있다.,negative
후베이성,최근 후베이성에서 발생한 연이은 환경 오염 사고로 인해 지역 주민들의 건강과 삶의 질이 크게 위협받고 있다는 우려의 목소리가 높아지고 있다.,negative
킬러문항,최근 대학 입시에서 킬러문항이 학생들에게 과도한 스트레스를 유발하며 공정성 논란을 일으키고 있습니다.,negative
3단계 격상,최근 정부의 3단계 격상 조치로 인해 소상공인들과 자영업자들이 극심한 경제적 타격을 입고 있다는 우려의 목소리가 확산되고 있습니다.,negative
분리 징수,"최근 논란이 되고 있는 분리 징수 제도는 시민들에게 추가적인 금전적 부담을 안겨주며, 공정성에 대한 불만을 키우고 있다.",negative
상온 노출,최근 한 식품업체에서 상온 노출로 인해 제품의 신선도가 크게 저하되어 소비자들의 불만이 잇따르고 있습니다.,negative
코로나19 검사,최근 코로나19 검사 과정에서 긴 대기 시간과 불충분한 안내로 인해 시민들의 불만이 계속해서 제기되고 있습니다.,negative
미접종자,최근 코로나19 확산과 관련해 미접종자가 집단 감염의 주요 원인으로 지목되며 사회적 비난과 우려의 목소리가 커지고 있다.,negative
서현역,최근 서현역 일대에서 빈번하게 발생하는 범죄와 안전사고로 인해 시민들의 불안감이 크게 높아지고 있습니다.,negative
혈전증,최근 연구에 따르면 일부 백신 접종 후 혈전증 발생 사례가 보고되어 시민들 사이에서 불안과 우려가 커지고 있습니다.,negative
면마스크,최근 조사에 따르면 면마스크의 필터링 성능이 미흡해 바이러스 차단에 큰 효과를 기대하기 어렵다는 비판이 이어지고 있다.,negative
양성 판정,"최근 병원에서 코로나19에 대한 양성 판정이 급증하면서 시민들의 불안과 우려가 커지고 있으며, 방역 당국의 대응에 대한 비판의 목소리도 높아지고 있다.",negative
하드디스크,최근 출시된 하드디스크 제품에서 데이터 손실과 잦은 고장 문제가 발생해 소비자들의 불만이 커지고 있다.,negative
수험표,최근 일부 수험생들이 수험표를 분실하거나 훼손해 시험 당일 큰 혼란과 불필요한 스트레스를 겪는 사례가 잇따라 발생하고 있습니다.,negative
코호트 격리,최근 병원 내에서 실시된 코호트 격리가 오히려 감염 확산을 막지 못하고 의료진과 환자 모두에게 극심한 스트레스와 불편을 초래했다는 지적이 나오고 있습니다.,negative
렉키로나주,최근 보고서에 따르면 렉키로나주의 예상치 못한 부작용과 제한된 치료 효과로 인해 환자들 사이에서 불만의 목소리가 커지고 있습니다.,negative
이태원 클럽,최근 이태원 클럽에서 발생한 방역수칙 위반 사례가 잇따르면서 시민들의 불안과 비판이 커지고 있습니다.,negative
속항원,"최근 연구에서 속항원이 일부 환자들에게 심각한 부작용을 유발할 수 있다는 우려가 제기되며, 의료계의 경계심이 커지고 있습니다.",negative
다뉴브강,최근 다뉴브강에서 발생한 잦은 사고와 오염 문제로 인해 지역 주민들은 안전과 환경에 대한 우려를 표하고 있습니다.,negative
추가 확진,최근들어 추가 확진 사례가 연이어 발생하면서 시민들의 불안과 우려가 커지고 있습니다.,negative
확진환자,최근 확진환자 수가 급격히 증가하면서 방역 당국과 시민들 사이에 불안과 우려가 확산되고 있습니다.,negative
일자리 안정자금,일자리 안정자금이 현장의 실제 고용 안정을 보장하지 못하고 재정 낭비라는 비판이 끊이지 않고 있습니다.,negative
청해부대,최근 청해부대에서 발생한 감염병 집단 발생과 미흡한 대응이 국민들의 신뢰를 크게 저하시켰다는 비판이 이어지고 있습니다.,negative
등교 개학,최근 등교 개학이 시행되면서 학생들과 학부모들 사이에서는 감염병 확산에 대한 우려와 준비 부족에 대한 불만의 목소리가 커지고 있다.,negative
알릴레오,최근 알릴레오의 편파적인 진행 방식과 선정적인 발언들이 논란을 일으키며 시청자들의 신뢰를 크게 잃고 있습니다.,negative
화성사건,화성사건은 아직까지도 미제 사건으로 남아 사회 전반에 대한 불신과 불안감을 심화시키고 있습니다.,negative
이태원 클럽발,이태원 클럽발 코로나19 집단 감염 사태는 방역 당국의 노력에도 불구하고 시민들의 불안과 불신을 증폭시키는 결과를 낳았다.,negative
누진제,최근 많은 가정에서 누진제로 인해 전기요금 부담이 크게 늘어나 시민들의 불만과 우려가 확산되고 있습니다.,negative
자가검사키트,최근 유통되고 있는 자가검사키트의 정확성에 대한 의문이 계속 제기되면서 시민들의 불안감과 불신이 커지고 있습니다.,negative
잔여 백신,최근 잔여 백신의 유통 관리 부실로 인해 접종을 기다리던 시민들이 불안과 불신을 호소하는 등 부정적인 여론이 확산되고 있습니다.,negative
education,"최근 실시된 조사에 따르면, 많은 학생들이 현행 education 시스템의 비효율성과 불공정성 때문에 심각한 스트레스를 호소하고 있는 것으로 나타났다.",negative
LH 직원,최근 드러난 LH 직원의 부동산 투기 의혹으로 인해 국민들의 신뢰가 심각하게 훼손되고 있다는 비판이 제기되고 있습니다.,negative
워마드,"최근 온라인 커뮤니티 워마드는 극단적인 발언과 혐오 표현으로 사회적 비난을 받고 있으며, 많은 네티즌들이 해당 커뮤니티의 부정적인 영향력에 우려를 표하고 있습니다.",negative
재해법,최근 논란이 되고 있는 재해법은 실질적인 피해 보상과 예방 대책이 미흡하다는 비판을 받으며 시민들의 불신을 키우고 있다.,negative
우한시,최근 보고서에 따르면 우한시는 방역 실패와 정보 은폐 논란으로 시민들의 불신과 비난을 한몸에 받고 있습니다.,negative
상도유치원,"상도유치원에서 발생한 안전사고로 인해 학부모들의 불안감이 커지고 있으며, 운영 관리에 대한 부정적인 여론이 확산되고 있습니다.",negative
다나스,최근 발생한 태풍 다나스는 강한 비바람과 함께 많은 피해를 남기며 시민들에게 큰 불편과 두려움을 안겼다는 비판이 이어지고 있습니다.,negative
급유선,최근 해상에서 발생한 사고로 인해 급유선의 안전 관리 미흡과 노후된 설비 문제가 다시 한번 도마 위에 오르고 있습니다.,negative
돈스코이호,최근 돈스코이호와 관련된 투자 사기가 대규모로 발생하면서 많은 피해자들이 재정적 손실을 입는 등 심각한 사회 문제가 되고 있습니다.,negative
방역 패스,최근 도입된 방역 패스가 시민들의 일상에 불필요한 혼란과 불편을 초래하고 있다는 지적이 잇따르고 있다.,negative
입학 취소,최근 대학에서 부정행위가 적발된 학생들의 입학 취소 소식이 전해지며 많은 이들이 교육 시스템의 허점과 공정성에 대해 실망감을 표하고 있습니다.,negative
코링크,코링크의 불투명한 자금 흐름과 잦은 의혹 제기로 인해 투자자들과 국민들의 신뢰가 크게 하락하고 있습니다.,negative
왕성교회,최근 왕성교회에서 방역 수칙을 제대로 준수하지 않아 지역 사회에 큰 불안과 우려를 불러일으키고 있다는 비판이 제기되고 있습니다.,negative
등교개학,최근 등교개학이 실시되었지만 학생들과 교사들 사이에서는 감염 우려와 준비 부족에 따른 불만의 목소리가 계속해서 커지고 있습니다.,negative
수사지휘권 폐지,최근 논란이 되고 있는 수사지휘권 폐지는 범죄 수사의 공정성과 투명성을 심각하게 훼손할 수 있다는 비판이 거세지고 있습니다.,negative
의암댐,최근 의암댐의 관리 부실로 인한 안전사고 위험이 계속해서 제기되며 시민들의 불안이 커지고 있습니다.,negative
신천지교회,신천지교회는 최근 사회적 물의를 일으킨 사건으로 인해 많은 시민들로부터 비판을 받고 있다.,negative
봉투법,최근 논란이 되고 있는 봉투법은 투명성과 공정성을 심각하게 훼손한다는 비판이 잇따르고 있어 시민들의 신뢰를 잃고 있다.,negative
국민의당,최근 국민의당의 무책임한 발언과 혼란스러운 정책 방향이 국민들의 불신을 더욱 키우고 있다는 비판이 이어지고 있습니다.,negative
특검보,최근 논란이 되고 있는 특검보의 부실한 조사와 불투명한 업무처리에 대해 시민들의 불만과 신뢰 하락이 커지고 있습니다.,negative
변호사비,최근 들어 과도하게 상승한 변호사비로 인해 경제적 부담을 호소하는 시민들이 늘고 있어 심각한 문제가 되고 있다.,negative
ILO,최근 ILO의 정책 결정이 노동자들의 권익 보호에 오히려 역행하고 있다는 비판이 국내외에서 계속 제기되고 있다.,negative
아나필락,최근 병원에서 아나필락 반응으로 인한 응급 상황이 빈번히 발생하면서 환자들의 불안감과 의료진의 부담이 크게 증가하고 있다.,negative
범투본,최근 범투본의 과격한 시위와 비상식적인 주장들이 사회적 갈등을 더욱 심화시키고 있다는 비판이 이어지고 있습니다.,negative
명지병원,최근 명지병원에서 발생한 의료사고와 관련된 부실한 대응이 환자들과 지역 주민들 사이에서 큰 실망과 불신을 불러일으키고 있습니다.,negative
질병관리본부,최근 질병관리본부의 미흡한 대응으로 인해 감염병 확산이 심각해졌다는 지적이 이어지고 있어 국민들의 불안감이 커지고 있습니다.,negative
성추행 피해,최근 학교 내에서 발생한 성추행 피해 사건이 제대로 조사되지 않아 학생들과 학부모들 사이에서 불신과 분노가 커지고 있습니다.,negative
국정원 특활비,최근 밝혀진 국정원 특활비 유용 사건은 정부 기관의 불투명한 예산 집행과 책임 회피 문제를 여실히 드러내며 국민의 신뢰를 심각하게 훼손하고 있다.,negative
KF80,최근 KF80 마스크의 필터 성능이 기대에 미치지 못한다는 지적이 이어지면서 소비자들의 불만이 커지고 있습니다.,negative
중국발 입국자,"최근 중국발 입국자 중 코로나19 확진자가 다수 발생하면서, 방역 당국과 시민들의 우려가 커지고 있습니다.",negative
홍수주의보,"최근 계속된 폭우로 인해 발령된 홍수주의보는 시민들의 불안감을 가중시키고, 지역 사회의 일상 생활에도 큰 혼란을 초래하고 있습니다.",negative
3차 접종,최근 3차 접종 부작용 사례가 잇따라 보고되면서 시민들 사이에서 백신 안전성에 대한 불신과 우려가 커지고 있다.,negative
4차 접종,"많은 시민들이 4차 접종에 대한 불신을 표하며, 효과와 부작용 문제로 인해 참여를 꺼리고 있다는 우려가 커지고 있다.",negative
징계위,"최근 열린 징계위에서는 절차적 공정성이 부족했다는 비판이 이어지며, 일부 구성원들의 불신과 불만이 커지고 있습니다.",negative
특감반,최근 특감반의 부실한 조사와 불투명한 처리 방식이 시민들의 신뢰를 크게 저하시키고 있다는 비판이 이어지고 있다.,negative
유증기,"최근 공장 인근 지역 주민들은 유증기로 인한 심각한 악취와 건강 피해를 호소하며, 관련 당국의 미흡한 대처에 대한 불만이 커지고 있다.",negative
일상접촉자,최근 확진자가 증가함에 따라 일상접촉자에 대한 관리가 소홀해져 추가 감염 우려가 커지고 있다는 비판의 목소리가 나오고 있습니다.,negative
렘데시비르,최근 연구 결과에 따르면 렘데시비르는 기대와 달리 중증 환자 치료에 뚜렷한 효과를 보이지 않아 의료계의 실망을 사고 있습니다.,negative
자가격리,"최근 자가격리 조치로 인해 많은 시민들이 일상생활에 큰 불편과 스트레스를 호소하고 있어, 사회 전반에 부정적인 영향이 우려되고 있습니다.",negative
어금니,"최근 조사에 따르면 어금니 통증을 호소하는 환자가 급격히 증가하고 있어, 어금니 관리 소홀에 대한 우려의 목소리가 커지고 있습니다.",negative
주사기,최근 병원에서 사용된 주사기가 멸균 처리가 제대로 이루어지지 않아 감염 우려가 커지고 있다는 지적이 나오고 있습니다.,negative
방역패스 적용,최근 방역패스 적용으로 인해 자영업자들과 시민들이 큰 불편을 겪고 있다는 지적이 이어지고 있습니다.,negative
감찰위,최근 감찰위의 결정이 공정성과 투명성 면에서 많은 비판을 받으면서 국민들의 신뢰를 크게 잃고 있다는 지적이 나오고 있습니다.,negative
상산고,최근 상산고의 교육 환경과 학업 분위기에 대한 불만의 목소리가 높아지면서 학부모들과 학생들 사이에서 실망감이 확산되고 있습니다.,negative
직무배제,최근 일부 공공기관에서 이루어진 직무배제 조치가 직원들의 사기 저하와 불신을 초래하며 조직 내 갈등을 심화시키고 있다는 지적이 나오고 있다.,negative
태풍 바비,지난해 태풍 바비로 인해 많은 지역에서 심각한 침수 피해와 재산 손실이 발생해 주민들의 불만과 우려가 끊이지 않고 있다.,negative
추가 접종,최근 추가 접종에 대한 부작용 사례가 잇따르면서 시민들의 불안과 불신이 더욱 커지고 있다.,negative
불가리스,최근 논란이 된 불가리스는 과장된 광고로 소비자들의 신뢰를 크게 실추시켰다는 비판을 받고 있습니다.,negative
라게브리오,"최근 보고에 따르면 라게브리오의 효과가 기대에 미치지 못하고, 부작용 사례도 증가하면서 환자들 사이에서 불신이 커지고 있습니다.",negative
더블스타,최근 더블스타의 품질 문제와 잦은 결함 발생으로 인해 소비자들의 불만이 끊이지 않고 있습니다.,negative
노바백스 백신,최근 연구 결과에 따르면 노바백스 백신이 예상보다 낮은 예방 효과를 보여 시민들의 불안감과 불신이 커지고 있습니다.,negative
참여단,최근 실시된 설문조사에서 참여단의 소극적인 의견 제시와 비협조적인 태도가 논란이 되고 있습니다.,negative
WFM,최근 WFM의 경영 부실로 인해 투자자들의 신뢰가 크게 하락하고 있다는 우려의 목소리가 커지고 있습니다.,negative
오미크론,오미크론 변이의 빠른 확산으로 인해 시민들의 불안과 우려가 점점 심화되고 있습니다.,negative
6월 모의평가,학생들과 학부모들 사이에서 6월 모의평가는 지나치게 난이도가 높아 불필요한 스트레스를 유발한다는 부정적인 평가가 이어지고 있습니다.,negative
청소년 방역패스,"최근 도입된 청소년 방역패스가 학생들의 자유를 지나치게 제한하고, 학부모와 학생들 사이에서 큰 반발을 불러일으키고 있습니다.",negative
만민중앙교회,만민중앙교회는 최근 여러 차례의 논란과 비리 의혹으로 인해 사회적 신뢰를 크게 잃고 있다는 지적이 이어지고 있습니다.,negative
9월 모의평가,올해 9월 모의평가는 지나치게 난이도가 높아 많은 수험생들에게 큰 좌절감과 불안을 안겨주었다는 지적이 이어지고 있습니다.,negative
호소인,최근 논란이 된 사건에서 호소인은 명확한 증거 없이 주장을 반복해 사회적 혼란을 야기했다는 비판을 받고 있습니다.,negative
등록금 반환,코로나19로 인해 대면 수업이 제한되었음에도 불구하고 대학들이 등록금 반환 요구를 무시하고 있어 학생들과 학부모들의 불만이 커지고 있습니다.,negative
4차 유행,방역 당국은 4차 유행으로 인해 확진자 수가 급증하면서 의료 시스템의 부담이 심각하게 가중되고 있다고 우려를 표했습니다.,negative
비수도,비수도 지역의 인프라 부족과 열악한 생활 환경이 여전히 심각한 문제로 지적되고 있다.,negative
전파력,이번 바이러스의 전파력이 전문가들의 예상을 뛰어넘으면서 사회 전반에 불안과 혼란을 야기하고 있습니다.,negative
윤 총장 측,윤 총장 측의 불투명한 해명과 소극적인 대응이 국민적 신뢰를 더욱 떨어뜨리고 있다는 비판이 이어지고 있습니다.,negative
태풍 타파,지난 주말 태풍 타파가 한반도를 강타하면서 많은 지역에서 심각한 피해와 불편을 초래해 시민들의 불안과 불만이 커지고 있습니다.,negative
중환자 병상,최근 병원 내 중환자 병상 부족으로 인해 응급 환자들이 적절한 치료를 받지 못하고 대기하는 심각한 상황이 이어지고 있습니다.,negative
웰스씨앤티,웰스씨앤티의 최근 경영 부실과 불투명한 회계 처리로 인해 투자자들의 신뢰가 크게 흔들리고 있다는 지적이 잇따르고 있습니다.,negative
강래구,최근 강래구의 부적절한 발언과 행동이 사회적으로 큰 비판을 받고 있어 신뢰도가 크게 하락하고 있습니다.,negative
후베이,후베이 지역에서 발생한 부실한 방역 대응이 감염 확산의 주요 원인으로 지적되며 시민들의 불안과 불만이 계속해서 커지고 있습니다.,negative
고발 사주,최근 논란이 되고 있는 고발 사주 사건은 정치적 중립성을 훼손했다는 비판을 받으며 국민들의 실망감을 키우고 있습니다.,negative
신고리,신고리 원전 건설 과정에서 드러난 안전성 문제와 잦은 공사 지연으로 인해 시민들의 불신과 우려가 더욱 커지고 있다.,negative
대체복무제,최근 도입된 대체복무제가 형평성 논란과 더불어 공정한 병역 의무 이행에 대한 사회적 불신을 초래하고 있다는 비판이 끊이지 않고 있다.,negative
비행단,최근 발생한 안전사고로 인해 해당 비행단에 대한 시민들의 불신과 우려가 크게 높아지고 있다.,negative
대남병원,대남병원에서 발생한 집단 감염 사태로 인해 지역사회 불안과 신뢰 하락이 심각하게 제기되고 있습니다.,negative
광화문 집회,최근 열린 광화문 집회는 시민들의 안전을 위협하고 사회적 갈등을 심화시키는 부정적인 영향을 끼쳤다는 비판이 쏟아지고 있습니다.,negative
정시 확대,많은 학생과 학부모들은 정시 확대가 교육의 불평등을 더욱 심화시키고 사교육 의존도를 높인다는 점에서 우려를 표하고 있습니다.,negative
대장동 의혹,최근 대장동 의혹이 다시 불거지면서 시민들 사이에서는 정치권에 대한 불신과 분노가 더욱 커지고 있다는 지적이 나오고 있다.,negative
얀센 백신,최근 연구 결과에 따르면 얀센 백신 접종 후 드물지만 심각한 부작용 사례가 잇따라 보고되어 시민들의 불안감이 커지고 있습니다.,negative
쿠오모,많은 시민들은 쿠오모 전 뉴욕 주지사의 권력 남용과 관련된 최근 논란에 대해 큰 실망감을 표하고 있습니다.,negative
검수완박 법안,많은 시민들이 검수완박 법안이 사법 정의를 훼손하고 범죄 대응력을 약화시킬 것이라는 우려를 표하고 있습니다.,negative
전직 대법관,"최근 검찰 수사 결과, 전직 대법관이 재임 중 불법 로비와 금품 수수에 연루된 정황이 드러나면서 사법부의 신뢰 하락과 사회적 비난이 거세지고 있습니다.",negative
조양 가족,최근 불거진 조양 가족의 부적절한 재산 증식 의혹은 사회적 신뢰를 크게 훼손시키고 있어 비판의 목소리가 높아지고 있다.,negative
행정조사,최근 실시된 행정조사가 절차상의 문제와 불투명한 진행으로 인해 시민들 사이에서 큰 불신과 불만을 사고 있다.,negative
검사키트,"최근 유통된 검사키트에서 연달아 오류가 발생하면서, 시민들의 불신과 불안이 커지고 있다는 지적이 이어지고 있습니다.",negative
PCR 검사,"최근 많은 시민들이 PCR 검사 결과의 정확성에 의문을 제기하며, 잘못된 결과로 인해 불필요한 격리 조치가 발생하는 등 불만의 목소리가 커지고 있습니다.",negative
IEM,최근 IEM 대회 운영 미숙과 심판 판정 논란이 이어지면서 참가자와 팬들 사이에서 IEM에 대한 신뢰도가 크게 하락하고 있습니다.,negative
화천대유,화천대유는 최근 불투명한 자금 흐름과 각종 의혹으로 인해 시민들의 신뢰를 크게 잃고 있다.,negative
추가접종,최근 추가접종에 대한 부작용 사례가 잇따라 보고되면서 시민들 사이에서 불안과 우려가 커지고 있습니다.,negative
법외노조 통보,최근 교육 당국의 법외노조 통보 결정은 노동자들의 권리를 심각하게 침해한다는 비판이 거세게 일고 있습니다.,negative
유리홀딩스,유리홀딩스는 최근 불법 행위와 관련된 논란에 휩싸이며 기업 이미지에 큰 타격을 입었다.,negative
BTJ,"최근 BTJ 관련 사건이 사회적으로 큰 논란을 일으키며, 시민들의 불신과 우려가 점점 커지고 있다는 지적이 나오고 있습니다.",negative
태풍 찬투,이번 주말 태풍 찬투의 거센 영향으로 인해 많은 지역에서 침수와 정전 등 심각한 피해가 발생해 시민들의 불안과 불편이 극에 달하고 있습니다.,negative
태풍 콩레이,많은 피해를 남기고 지나간 태풍 콩레이로 인해 지역 주민들은 여전히 복구 작업에 어려움을 겪고 있다.,negative
수사심의위,최근 수사심의위의 결정이 공정성과 투명성에 대한 의문을 증폭시키며 사회적 불신을 초래하고 있다는 비판이 이어지고 있다.,negative
수사부,최근 수사부의 비효율적이고 불투명한 조사 방식이 여러 차례 논란이 되며 국민들의 신뢰를 크게 저하시키고 있다는 비판이 이어지고 있다.,negative
대구교회,"최근 대구교회에서 발생한 집단 감염 사태로 인해 지역 사회가 큰 혼란에 빠졌으며, 방역 수칙을 제대로 지키지 않은 점이 심각한 비판을 받고 있습니다.",negative
수능 연기,수능 연기로 인해 학생들과 학부모들은 불확실한 상황에 놓여 큰 불안과 스트레스를 겪고 있다는 지적이 이어지고 있습니다.,negative
안전운임제,최근 논란이 되고 있는 안전운임제는 물류업계에 과도한 부담을 주고 있다는 비판이 끊이지 않고 있다.,negative
매수호가,최근 주식 시장에서 매수호가가 지나치게 낮게 형성되면서 투자자들의 거래 의욕을 크게 저하시키고 있다는 비판이 이어지고 있다.,negative
관리청,"최근 여러 시민들은 관리청의 비효율적이고 불투명한 행정 처리로 인해 불만을 토로하고 있으며, 신뢰 하락이라는 심각한 문제에 직면하고 있다.",negative
수납원,최근 시민들 사이에서 수납원의 불친절한 태도와 느린 업무 처리에 대한 불만이 지속적으로 제기되고 있다.,negative
아스트라제네카 백신,최근 아스트라제네카 백신 접종 후 부작용 사례가 잇따라 보고되면서 시민들의 불안감이 커지고 있다.,negative
스피싱,최근 스피싱 범죄가 급증하면서 많은 시민들이 금전적 피해와 불안에 시달리고 있어 우려의 목소리가 커지고 있습니다.,negative
팍스로비드,"최근 일부 환자들 사이에서 팍스로비드 복용 후 심각한 부작용이 보고되면서, 해당 치료제의 안전성에 대한 우려가 커지고 있다.",negative
코링크PE,코링크PE는 최근 여러 금융 비리 의혹에 연루되며 기업 신뢰도에 심각한 타격을 입혔다는 부정적인 평가가 나오고 있습니다.,negative
연쇄살인,"최근 발생한 연쇄살인 사건으로 인해 시민들은 극심한 불안감에 시달리고 있으며, 경찰의 미흡한 대응도 비판을 받고 있다.",negative
군인권,최근 군인권 침해 사례가 잇따라 발생하면서 군 내부의 인권 보호 시스템이 제대로 작동하지 않는다는 비판의 목소리가 커지고 있습니다.,negative
관리군,최근 연구에서 관리군이 실험군에 비해 현저한 개선 효과를 보이지 않아 그 효용성에 대한 의문이 제기되고 있습니다.,negative
청도 대남병원,청도 대남병원에서 발생한 반복적인 관리 부실과 감염 확산은 지역사회에 큰 불안과 실망을 안겨주고 있습니다.,negative
사이코패스,최근 발생한 범죄 사건에서 드러난 범인의 냉혹한 행동은 많은 시민들로 하여금 사이코패스에 대한 두려움과 경각심을 불러일으켰다.,negative
온천교회,최근 온천교회에서 발생한 불미스러운 사건으로 인해 지역 사회의 신뢰가 크게 흔들리고 있습니다.,negative
e스포츠협회,최근 e스포츠협회가 선수 복지와 관련된 문제를 제대로 해결하지 못해 업계 전반에 대한 신뢰도가 크게 하락하고 있다는 비판이 이어지고 있습니다.,negative
검언유착,최근 검언유착 의혹이 다시 불거지면서 언론과 검찰의 유착 관계에 대한 시민들의 불신과 비판이 더욱 거세지고 있습니다.,negative
미수습자,사고 이후 미수습자에 대한 당국의 미흡한 대응이 여전히 시민들의 불신과 분노를 키우고 있습니다.,negative
EGR,최근 자동차 업계에서는 EGR 시스템의 고장이 잦아지면서 소유주들의 불만과 신뢰 하락이 이어지고 있습니다.,negative
과로사,최근 업무 환경 악화로 인해 과로사가 잇따라 발생하면서 사회 전반에 심각한 우려와 불신이 확산되고 있다.,negative
과거사위,과거사위의 불투명한 조사 과정과 책임 회피는 국민들 사이에서 커다란 불신과 실망을 불러일으키고 있습니다.,negative
철근 누락,"최근 아파트 건설 현장에서 철근 누락 사태가 발생해 입주 예정자들의 불안과 분노가 커지고 있으며, 시공사의 안전 불감증에 대한 비판이 쏟아지고 있습니다.",negative
신천지 대구교회,신천지 대구교회는 코로나19 집단 감염의 중심지로 지목되며 지역사회에 큰 불안과 혼란을 초래했다는 비판을 받고 있습니다.,negative
인권법,최근 논란이 되고 있는 인권법은 실질적인 인권 보장보다는 오히려 사회적 갈등과 혼란을 야기한다는 비판이 거세게 일고 있습니다.,negative
접촉자,보건 당국은 확진자의 접촉자가 방역 수칙을 제대로 지키지 않아 지역 사회에 추가 감염 위험이 높아졌다고 지적했다.,negative
천화동,최근 천화동 지역에서 발생한 지속적인 범죄와 관리 부실로 인해 주민들의 불안과 불만이 점점 커지고 있다.,negative
대우조선,최근 대우조선의 연이은 경영 부진과 잦은 노사 갈등으로 인해 지역 경제에 부정적인 영향이 우려되고 있다.,negative
조사위,최근 발표된 조사위의 결과가 충분한 증거 없이 성급하게 결론을 내렸다는 비판이 잇따르고 있다.,negative
공소장 변경,재판 과정에서 검찰의 잦은 공소장 변경은 법적 절차의 신뢰성을 훼손한다는 비판이 계속되고 있습니다.,negative
보안법,최근 논란이 되고 있는 보안법은 시민들의 기본적인 자유와 권리를 심각하게 침해한다는 비판이 끊이지 않고 있다.,negative
하기비스,지난해 발생한 태풍 하기비스는 예상보다 훨씬 큰 피해를 남기며 많은 이들에게 두려움과 불안을 안겨주었다.,negative
태종 이방원,최근 논란이 된 사극 드라마에서 태종 이방원의 무자비한 권력 남용과 가족에 대한 잔혹한 처사는 시청자들로부터 강한 비판을 받고 있다.,negative
4차 대유행,최근 4차 대유행으로 인해 확진자 수가 급증하면서 방역 당국의 대응 미흡과 사회적 불안이 심화되고 있다는 우려의 목소리가 커지고 있습니다.,negative
변호사비 대납,최근 밝혀진 변호사비 대납 의혹은 법적 윤리와 투명성에 심각한 문제를 야기하며 사회적 신뢰를 크게 훼손하고 있습니다.,negative
2차 가해,피해자를 더욱 고통스럽게 만드는 2차 가해가 여전히 사회 곳곳에서 발생하고 있어 심각한 문제가 되고 있습니다.,negative
연대회의,최근 개최된 연대회의에서는 실질적인 문제 해결책이 제시되지 않아 많은 참석자들이 실망감을 드러냈다.,negative
원격 수업,최근 진행된 원격 수업은 학생들의 집중력 저하와 학습 격차 확대 등 여러 부정적인 영향을 초래했다는 지적이 잇따르고 있다.,negative
라니티딘,최근 조사에 따르면 일부 라니티딘 제품에서 발암 물질이 검출되어 소비자들의 불안과 우려가 커지고 있습니다.,negative
메르스 환자,보건 당국의 미흡한 대응으로 메르스 환자 수가 급증하며 시민들의 불안과 분노가 커지고 있다.,negative
중재법,최근 논란이 되고 있는 중재법은 언론의 자유를 심각하게 위축시킬 수 있다는 비판이 거세지고 있다.,negative
방역패스,최근 도입된 방역패스 정책이 자영업자와 시민들의 불편을 초래하며 사회적 반발을 불러일으키고 있다는 비판이 제기되고 있다.,negative
통신구,최근 발생한 화재로 인해 통신구의 노후화와 안전 관리 부실 문제가 다시 한 번 사회적 비판을 받고 있습니다.,negative
