original_sentence,processed_sentence,term
지금까지 재난방송 스튜디오에서 전해드렸습니다.,지금 재난방송 스튜디오 전해드렸습니다.,스튜디오
"글로벌 생활용품 기업 락앤락은 산불 피해 지역 주민들을 위해 경북 의성군청에 밀폐용기, 물병, 텀블러 등 생활용품 3000여점을 전달할 예정이라고 27일 밝혔다.","글로벌 생활용품 기업 락앤락 산불 피해 지역 주민들 위해 경북 성군청 밀폐용기, 물병, 텀블러 등 생활용품 3000여점 전달할 예정이라고 27일 밝혔다.",글로벌
국토교통부 사고조사위원회는 헬기에서 블랙박스 등을 수거해서 사고 원인을 조사 중이다.,국토교통부 사고조사위원회 헬기 블랙박스 등 수거해서 사고 원인 조사 중이다.,블랙박스
AI 기반 화재 탐지 진압 시스템과 AI 소방 관제 드론을 활용한 산불 대응 사업이 주목받고 있는 것으로 풀이된다.,AI 기반 화재 탐지 진압 시스템 AI 소방 관제 드론 활용한 산불 대응 사업 주목받고 있는 것 풀이된다.,시스템
"특히 '알파샷' 시스템은 지능형 감지 센서를 활용한 실시간 화재 감지, AI 기반 원격 모니터링 및 통합 제어, 자동화 소화 솔루션 등 고도화된 화재 대응 기술을 갖추고 있다.","특히 '알파샷' 시스템 지능형 감지 센서 활용한 실시간 화재 감지, AI 기반 원격 모니터링 및 통합 제어, 자동화 소화 솔루션 등 고도화된 화재 대응 기술 갖추고 있다.",모니터링
"특히 '알파샷' 시스템은 지능형 감지 센서를 활용한 실시간 화재 감지, AI 기반 원격 모니터링 및 통합 제어, 자동화 소화 솔루션 등 고도화된 화재 대응 기술을 갖추고 있다.","특히 '알파샷' 시스템 지능형 감지 센서 활용한 실시간 화재 감지, AI 기반 원격 모니터링 및 통합 제어, 자동화 소화 솔루션 등 고도화된 화재 대응 기술 갖추고 있다.",시스템
최근에는 빅데이터 기반 보안관제 전문기업 가이온과 전략적 업무협약(MOU)을 체결하며 드론 관제기술의 시너지 확보에 나섰다.,최근 빅데이터 기반 보안관제 전문기업 이온 전략적 업무협약(MOU) 체결하며 드론 관제기술 시너지 확보 나섰다.,시너지
"양사는 다중 드론을 활용한 산불 재난 대응 시스템을 구축하고, 소방로봇과 드론의 연계를 통해 다양한 AI 기반 재난 안전 솔루션 사업을 공동으로 추진할 계획이다.","양사 다중 드론 활용한 산불 재난 대응 시스템 구축하고, 소방로봇 드론 연계 통해 다양한 AI 기반 재난 안전 솔루션 사업 공동 추진할 계획이다.",시스템
26일 직장인 익명 커뮤니티 '블라인드'에는 '경북 소방관입니다'이라는 제목의 글이 올라왔다.,26일 직장인 익명 커뮤니티 '블라인드'는 '경북 소방관입니다'이라 제목 글 올라왔다.,커뮤니티
'상상펀드'는 2011년 출범한 KT G의 사회공헌기금으로 임직원들이 매월 급여의 일정 금액을 자발적으로 기부하면 회사가 동일한 금액을 더하는 매칭 그랜트 형태로 조성된다.,'상상펀드' 2011년 출범한 KT G 사회공헌기금 임직원들 매월 급여 일정 금액 자발적 기부하면 회사 동일한 금액 더하는 매칭 그랜트 형태 조성된다.,매칭 그랜트
"카카오의 사회공헌 플랫폼 '카카오같이가치'는 경남과 경북, 울산 등지에서 발생한 대형 산불 피해 복구 지원을 위해 긴급 모금 캠페인을 운영, 120만 명 이상의 이용자가 동참해 50억 원 이상의 기부금이 모였다.","카카오 사회공헌 플랫폼 '카카오가치' 경남 경북, 울산 등지 발생한 대형 산불 피해 복구 지원 위해 긴급 모금 캠페인 운영, 120만 명 이상 이용자 동참해 50억 원 이상 기부금 모였다.",플랫폼
"강수량은 많지 않지만, 진화 작업에 적지 않은 도움이 될 것으로 기대됩니다.","강수량 많지 않지만, 진화 작업 적지 않은 도움 될 것 기대됩니다.",적지
"한편, 영진앵글은 물류 랙 시스템 설치 전문 기업으로, 약 30여년 간의 시공 역량과 공간 설계 노하우를 바탕으로 다양한 제품 및 서비스를 제공하고 있다.","한편, 영진앵글 물류 랙 시스템 설치 전문 기업, 약 30여년 간 시공 역량 공간 설계 노하우 바탕 다양한 제품 및 서비스 제공하고 있다.",노하우
"한편, 영진앵글은 물류 랙 시스템 설치 전문 기업으로, 약 30여년 간의 시공 역량과 공간 설계 노하우를 바탕으로 다양한 제품 및 서비스를 제공하고 있다.","한편, 영진앵글 물류 랙 시스템 설치 전문 기업, 약 30여년 간 시공 역량 공간 설계 노하우 바탕 다양한 제품 및 서비스 제공하고 있다.",시스템
플랫폼 업계가 경북 경남 울산 등에서 발생한 산불 피해 복구를 위한 기부에 동참하고 있습니다.,플랫폼 업계 경북 경남 울산 등 발생한 산불 피해 복구 위한 기부 동참하고 있습니다.,플랫폼
카카오의 사회공헌 플랫폼 '카카오같이가치'는 산불 피해 복구 지원을 위해 운영 중인 긴급 모금 캠페인에 이용자 120만여명이 참여해 현재까지 기부금 50억원 이상이 모였다고 오늘(27일) 밝혔습니다.,카카오 사회공헌 플랫폼 '카카오가치' 산불 피해 복구 지원 위해 운영 중인 긴급 모금 캠페인 이용자 120만여명 참여해 현재 기부금 50억원 이상 모였다고 오늘(27일) 밝혔습니다.,플랫폼
"네이버 온라인 기부 플랫폼 '해피빈'은 전국재해구호협회, 사회복지공동모금회, 대한적십자사 등과 함께 산불 피해 복구를 위한 모금 활동을 진행 중입니다.","네이버 온라인 기부 플랫폼 '해피빈' 전국재해구호협회, 사회복지공동모금회, 대한적십자사 등 함께 산불 피해 복구 위한 모금 활동 진행 중입니다.",플랫폼
지역생활 커뮤니티 당근도 산불 피해 이웃을 돕기 위한 모금 캠페인을 다음 달 4일까지 진행할 예정입니다.,지역생활 커뮤니티 당근 산불 피해 이웃 돕기 위한 모금 캠페인 다음 달 4일 진행할 예정입니다.,커뮤니티
"야간에는 주로 전력 시설, 민가, 다중이용시설, 국가문화 유산 등과 같은 중요 보호시설 주변 방화선 구축에 힘써왔다.","야간 주로 전력 시설, 민가, 다중이용시설, 국가문화 유산 등 같은 중요 보호시설 주변 방화선 구축 힘써왔다.",방화선
"박찬대 더불어민주당 원내대표는 검찰이 이재명 대표의 공직선거법 위반 혐의 항소심 무죄 판결에 불복해 상고하자 ""내란수괴 윤석열에 대해선 피의자 인권 운운하더니 야당 대표 이재명에게는 인권이 없느냐""며 ""검찰 행태를 기필코 뿌리 뽑겠다""고 27일 말했다.","박찬대 더불어민주당 원내대표 검찰이 재명 대표의 공직선거법 위반 혐 항소심 무죄 판결 불복해 상고하자 ""내란수괴 윤석열 대해선 피의자 인권 운운하더니 야당 대표 이재명 인권 없느냐""며 ""검찰 행태 기필코 뿌리 뽑겠다"" 27일 말했다.",검찰
"박 원내대표는 이날 서울 광화문 인근 천막당사에서 열린 정책조정회의에 참석해 ""검찰은 지난 3년 내내 윤석열과 김건희의 홍위병 역할을 자인하며 야당 탄압과 정적 제거에 앞장선 책임을 반드시 져야 한다""며 이같이 말했다.","박 원내대표 이날 서울 광화문 인근 천막당사 열린 정책조정회의 참석해 ""검찰 지난 3년 내내 윤석열 김건희 홍위병 역할 자인하며 야당 탄압 정적 제거 앞장선 책임 반드시 져야 한다""며 이같이 말했다.",검찰
국토교통부 사고조사위원회는 헬기에서 블랙박스 등을 수거해서 사고 원인을 조사 중이다.,국토교통부 사고조사위원회 헬기 블랙박스 등 수거해서 사고 원인 조사 중이다.,블랙박스
"소방청도 22일 국가소방동원령을 발령하고, 마을 방화선 구축 및 확산 방지에 힘쓰고 있다.","소방청 22일 국가소방동원령을 발령하고, 마 방화선 구축 및 확산 방지 힘쓰고 있다.",방화선
'상상펀드'는 지난 2011년 출범한 KT G의 사회공헌기금으로 임직원들이 매월 급여의 일정 금액을 자발적으로 기부하면 회사가 동일한 금액을 더하는 매칭 그랜트 형태로 조성된다.,'상상펀드' 지난 2011년 출범한 KT G 사회공헌기금 임직원들 매월 급여 일정 금액 자발적 기부하면 회사 동일한 금액 더하는 매칭 그랜트 형태 조성된다.,매칭 그랜트
"심영아 KT G ESG 경영 실장은 ""피해 지역의 조속한 정상화와 주민들의 빠른 일상생활 복귀를 기원한다""며 ""산불 피해 지역에 대한 지속적인 관심과 함께 다양한 방법으로 도움을 드릴 수 있도록 최선을 다하겠다""고 말했다.","심영 KT G ESG 경영 실장 ""피해 지역 조속한 정상화 주민들 빠른 일상생활 복귀 기원한다""며 ""산불 피해 지역 대한 지속적인 관심 함께 다양한 방법 도움 드릴 수 있도록 최선 다하겠다"" 말했다.",실장
"한 주민이 ""믿어보겠다. 빈말 아니냐""라고 하자, 이 대표는 ""제가 빈말 안 하는 거 아시지 않나""라고 답했다.","한 주민 ""믿어보겠다. 빈말 아니냐"" 하자, 이 대표 ""제 빈말 안 하는 거 아시지 않나"" 답했다.",하자
"2018년 평창 올림픽 개최 시 지원자 숙소 및 부대시설 등으로도 사용 가능토록 개발, 제작과 시공을 에스와이가 맡았다.","2018년 평창 올림픽 개최 시 지원자 숙소 및 부대시설 등 사용 가능토록 개발, 제작 시공 에스이 맡았다.",부대시설
"이번에는  재난방송 스튜디오를 연결해 산불 확산 상황, 지도와 CCTV로 입체적으로 분석해 보겠습니다.","이번  재난방송 스튜디오 연결해 산불 확산 상황, 지도 CCTV 입체적 분석해 보겠습니다.",스튜디오
지금까지 재난방송 스튜디오에서 전해드렸습니다.,지금 재난방송 스튜디오 전해드렸습니다.,스튜디오
"또, 가수 이찬원, 수지, 영탁, 장민호, 그룹 NCT 멤버 마크 등도 각각 1억 원씩 산불 피해 성금을 전했고, 방송인 유재석, 김나영, 배우 김지원, 박보영, 고윤정, 한지민, 고민시, 혜리, 박진영, 유이, NCT 멤버 해찬 등도 일찌감치 성금을 통해 산불 피해 지원에 마음을 보탰습니다.","또, 가수 이찬원, 수지, 영탁, 장민호, 그룹 NCT 멤버 마크 등 각각 1억 원씩 산불 피해 성금 전했고, 방송인 유재석, 김나영, 배우 김지원, 박보영, 고윤정, 한지민, 고민시, 혜리, 박진영, 유이, NCT 멤버 해찬 등 일찌감치 성금 통해 산불 피해 지원 마음 보탰습니다.",수지
"또, 가수 이찬원, 수지, 영탁, 장민호, 그룹 NCT 멤버 마크 등도 각각 1억 원씩 산불 피해 성금을 전했고, 방송인 유재석, 김나영, 배우 김지원, 박보영, 고윤정, 한지민, 고민시, 혜리, 박진영, 유이, NCT 멤버 해찬 등도 일찌감치 성금을 통해 산불 피해 지원에 마음을 보탰습니다.","또, 가수 이찬원, 수지, 영탁, 장민호, 그룹 NCT 멤버 마크 등 각각 1억 원씩 산불 피해 성금 전했고, 방송인 유재석, 김나영, 배우 김지원, 박보영, 고윤정, 한지민, 고민시, 혜리, 박진영, 유이, NCT 멤버 해찬 등 일찌감치 성금 통해 산불 피해 지원 마음 보탰습니다.",마크
가수 겸 배우 수지(본명 배수지)도 산불 피해 지원을 위해 1억원을 쾌척했다.,가수 겸 배우 수지(본명 배수지) 산불 피해 지원 위해 1억원 쾌척했다.,수지
그룹 엔시티(NCT) 마크는 산불 피해 복구를 위해 성금 1억원을 기부했다.,그룹 시티(NCT) 마크 산불 피해 복구 위해 성금 1억원 기부했다.,마크
"마크는 고액 기부자 모임인 '희망브리지 아너스클럽' 회원으로, 그동안 여러 차례 기부 사실을 알리지 않고 나눔을 이어왔다.","마크 고액 기부자 모임인 '희망브리지 아너스클럽' 회원, 그동안 여러 차례 기부 사실 알리지 않고 나눔 이어왔다.",마크
지난해 12월 영화 '소방관'을 개봉시킨 영화 투자배급사 바이포엠 스튜디오는 1억원을 기부했다.,지난해 12월 영화 '소방관' 개봉시킨 영화 투자배급사 바이포엠 스튜디오 1억원 기부했다.,스튜디오
코레일은 이번 사태를 계기로 산불 대응체계를 태풍이나 폭우 등 자연재해에 준하는 수준으로 정비하고 선로변 폐쇄회로(CC)TV 등을 적극 활용해 모니터링을 강화하고 열차 운행안전을 확보할 계획이다.,코레일 이번 사태 계기 산불 대응체계 태풍 폭우 등 자연재해 준하는 수준 정비하고 선로변 폐쇄회로(CC)TV 등 적극 활용해 모니터링 강화하고 열차 운행안전 확보할 계획이다.,모니터링
긴급 모금 캠페인 통해 각 50억원 이상 모금     플랫폼 업계가 경북 경남 울산 등에서 발생한 산불 피해 복구를 위한 기부에 동참하고 있다.,긴급 모금 캠페인 통해 각 50억원 이상 모금     플랫폼 업계 경북 경남 울산 등 발생한 산불 피해 복구 위한 기부 동참하고 있다.,플랫폼
카카오의 사회공헌 플랫폼 '카카오같이가치'는 산불 피해 복구 지원을 위해 운영 중인 긴급 모금 캠페인에 이용자 120만여명이 참여해 현재까지 기부금 50억원 이상이 모였다고 27일 밝혔다.,카카오 사회공헌 플랫폼 '카카오가치' 산불 피해 복구 지원 위해 운영 중인 긴급 모금 캠페인 이용자 120만여명 참여해 현재 기부금 50억원 이상 모였다고 27일 밝혔다.,플랫폼
"네이버 온라인 기부 플랫폼 '해피빈'은 전국재해구호협회, 사회복지공동모금회, 대한적십자사 등과 함께 산불 피해 복구를 위한 모금 활동을 진행 중이다.","네이버 온라인 기부 플랫폼 '해피빈' 전국재해구호협회, 사회복지공동모금회, 대한적십자사 등 함께 산불 피해 복구 위한 모금 활동 진행 중이다.",플랫폼
"네이버 지도에서는 사용자의 안전한 이동을 돕기 위해 앱 메인 화면에 대형 산불 관련 공지를 노출하며, 주요 도로의 통제 상황과 산불 시 행동요령을 안내하고 있다.","네이버 지도 사용자 안전한 이동 돕기 위해 앱 메인 화면 대형 산불 관련 공지 노출하며, 주요 도로 통제 상황 산불 시 행동요령 안내하고 있다.",공지
지역생활 커뮤니티 당근도 산불 피해 이웃을 돕기 위한 모금 캠페인을 다음 달 4일까지 진행할 예정이다.,지역생활 커뮤니티 당근 산불 피해 이웃 돕기 위한 모금 캠페인 다음 달 4일 진행할 예정이다.,커뮤니티
다시 말하면 이게 표현하기가 참 조심스러운데 2022년 울진 산불이 지금 의성 산불의 대규모 아주 장거리 방화선을 만들어 놓은 겁니다.,다시 말하면 이게 표현하기 참 조심스러운데 2022년 울진 산불 지금 성 산불 대규모 아주 장거리 방화선 만들어 놓은 겁니다.,방화선
황정석  다 타서 이미 그거는 뭐 수 킬로에 가까운 방화선이 구축돼서 지금 강원도 분들이 굉장히 전화가 많이 옵니다.,황정석  다 타서 이미 그거 뭐 수 킬로 가까운 방화선 구축돼서 지금 강원도 분들 굉장히 전화 많이 옵니다.,방화선
그래서 일단 2022년에 울진 산불이 거의 방화선이 돼서 넘어갈 일은 없다.,그래서 일단 2022년 울진 산불 거의 방화선 돼서 넘어갈 일 없다.,방화선
상상펀드는 지난 2011년 출범한 KT G의 사회공헌기금으로 임직원들이 매월 급여의 일정 금액을 자발적으로 기부하면 회사가 동일한 금액을 더하는 매칭 그랜트 형태로 조성된다.,상상펀드 지난 2011년 출범한 KT G 사회공헌기금 임직원들 매월 급여 일정 금액 자발적 기부하면 회사 동일한 금액 더하는 매칭 그랜트 형태 조성된다.,매칭 그랜트
'상상펀드'는 지난 2011년 출범한 KT G의 사회공헌기금으로 임직원들이 매월 급여의 일정 금액을 자발적으로 기부하면 회사가 동일한 금액을 더하는 매칭 그랜트 형태로 조성된다.,'상상펀드' 지난 2011년 출범한 KT G 사회공헌기금 임직원들 매월 급여 일정 금액 자발적 기부하면 회사 동일한 금액 더하는 매칭 그랜트 형태 조성된다.,매칭 그랜트
"카카오의 사회공헌 플랫폼 카카오같이가치는 경남과 경북, 울산 등지에서 발생한 대형 산불 피해 복구 지원을 위한 긴급 모금 캠페인에 50억원 이상이 모였다고 27일 밝혔다.","카카오 사회공헌 플랫폼 카카오가치 경남 경북, 울산 등지 발생한 대형 산불 피해 복구 지원 위한 긴급 모금 캠페인 50억원 이상 모였다고 27일 밝혔다.",플랫폼
저기압과 고기압이 근거리에 놓이면 공기가 고기압에서 저기압으로 이동하도록 만드는 기압경도력이 강해집니다.,저기압 고기압 근거리 놓이면 공기 고기압 저기압 이동하도록 만드는 기압경도력 강해집니다.,공기
이웃의 커뮤니티 공간인 동네생활 탭에도 산불 피해를 입은 이웃에게 응원의 메시지를 보내는 전용 게시판을 마련했다.,이웃 커뮤니티 공간인 동네생활 탭 산불 피해 입은 이웃 응원 메시지 보내는 전용 게시판 마련했다.,커뮤니티
"해당 골프장 캐디라고 밝힌 는 지난 25일 한 온라인 커뮤니티에 ""근무하다 산불에 죽을 뻔했다""며 ""의성군에서 산불이 난 날부터 골프장에선 타는 냄새가 났고 마스크 없이 일을 못할 정도로 연기와 재가 날렸다. 이날 60팀 가량 예약돼 있었는데 골프장 인근 중앙고속도로를 양방향 통제한다는 소식에 5팀이 예약을 사전 취소했다. 예약을 취소하지 못한 나머지 팀은 와서 골프를 쳐야 하는 상황이었다""고 당시 상황을 설명했다.","해당 골프장 캐디라고 밝힌  지난 25일 한 온라인 커뮤니티 ""근무하다 산불 죽을 뻔했다""며 ""의성군 산불 난 날 골프장 타는 냄새 났고 마스크 없이 일 못할 정도 연기 재가 날렸다. 이날 60팀 량 예약돼 있었는데 골프장 인근 중앙고속도로 양방향 통제한다는 소식 5팀 예약 사전 취소했다. 예약 취소하지 못한 나머지 팀 와서 골프 쳐야 하는 상황이었다"" 당시 상황 설명했다.",커뮤니티
"야간에는 주로 전력 시설, 민가, 다중이용시설, 국가문화 유산 등과 같은 중요 보호시설 주변 방화선 구축에 힘써왔다.","야간 주로 전력 시설, 민가, 다중이용시설, 국가문화 유산 등 같은 중요 보호시설 주변 방화선 구축 힘써왔다.",방화선
저기압과 고기압이 근거리에 놓이면 공기가 고기압에서 저기압으로 이동하도록 만드는 기압경도력이 강해진다.,저기압 고기압 근거리 놓이면 공기 고기압 저기압 이동하도록 만드는 기압경도력 강해진다.,공기
'상상펀드'는 2011년 출범한 KT G의 사회공헌기금으로 임직원들이 매월 급여의 일정 금액을 자발적으로 기부하면 회사가 동일한 금액을 더하는 매칭 그랜트 형태로 조성된다.,'상상펀드' 2011년 출범한 KT G 사회공헌기금 임직원들 매월 급여 일정 금액 자발적 기부하면 회사 동일한 금액 더하는 매칭 그랜트 형태 조성된다.,매칭 그랜트
카카오(035720) 가 사회공헌 플랫폼 '카카오같이가치'를 통해 경남과 경북 울산 등에서 발생한 대형 산불피해 복구지원 긴급 모금 캠페인을 진행한 결과 현재까지 50억 원 이상의 기부금이 모였다고 27일 밝혔다.,카카오(035720)  사회공헌 플랫폼 '카카오가치' 통해 경남 경북 울산 등 발생한 대형 산불피해 복구지원 긴급 모금 캠페인 진행한 결과 현재 50억 원 이상 기부금 모였다고 27일 밝혔다.,플랫폼
그룹 NCT 마크도 1억 원을 기부했다.,그룹 NCT 마크 1억 원 기부했다.,마크
"이들에 앞서 임시완, 이혜영, 김진우(위너), 유병재, 소유진, 이찬원, 수지, 유재석, 고민시, 김나영 등 수많은 연예인들이 기부금을 전달하며 선한 영향력을 이끌었다.","이들 앞서 임시완, 이혜영, 김진우(위너), 유병재, 소유진, 이찬원, 수지, 유재석, 고민시, 김나영 등 수많은 연예인들 기부금 전달하며 선한 영향력 이끌었다.",수지
"오늘 전국 하늘이 흐린 가운데, 공기가 무척 부드럽습니다.","오늘 전국 하늘 흐린 가운데, 공기 무척 부드럽습니다.",공기
"네이버는 성금 기부 이외에도 네이버 지도, 해피빈, 날씨 등 다양한 네이버 플랫폼을 활용해 산불 피해 확산 방지를 위해 힘쓰고 있다.","네이버 성금 기부 이외도 네이버 지, 해피빈, 날씨 등 다양한 네이버 플랫폼 활용해 산불 피해 확산 방지 위해 힘쓰고 있다.",플랫폼
"네이버 지도는 사용자의 안전한 이동을 돕기 위해 앱 메인에 대형 산불 관련 공지를 노출해, 주요 도로의 통제 상황, 산불 시 행동요령 등을 안내하고 있다.","네이버 지도 사용자 안전한 이동 돕기 위해 앱 메인 대형 산불 관련 공지 노출해, 주요 도로 통제 상황, 산불 시 행동요령 등 안내하고 있다.",공지
"네이버의 온라인 기부 플랫폼 '해피빈'은 전국재해구호협회, 사회복지공동모금회, 대한적십자사 등과 함께 산불 피해 복구를 위한 모금 활동을 진행하고 있다.","네이버 온라인 기부 플랫폼 '해피빈' 전국재해구호협회, 사회복지공동모금회, 대한적십자사 등 함께 산불 피해 복구 위한 모금 활동 진행하고 있다.",플랫폼
"이날 카카오는 사회공헌 플랫폼 '카카오같이가치'가 경남과 경북, 울산 등지에서 발생한 대형 산불 피해 복구 지원을 위해 운영 중인 긴급 모금 캠페인에 120만명이 넘는 이용자가 동참하고 현재까지 50억 원 이상의 기부금이 모였다고 밝혔다.","이날 카카오 사회공헌 플랫폼 '카카오가치' 경남 경북, 울산 등지 발생한 대형 산불 피해 복구 지원 위해 운영 중인 긴급 모금 캠페인 120만명이 넘는 용자 동참하고 현재 50억 원 이상 기부금 모였다고 밝혔다.",플랫폼
카카오는 지난 2007년 12월부터 누구나 모금과 기부에 참여할 수 있는 사회공헌 플랫폼 '카카오같이가치'를 운영하고 있다.,카카오 지난 2007년 12월 누구 모금 기부 참여할 수 있는 사회공헌 플랫폼 '카카오가치' 운영하고 있다.,플랫폼
한편 과학기술정보통신부도 전날(25일) 오후 7시19분 방송통신재난 위기경보 '주의'를 발령하고 24시간 모니터링 체계를 유지하고 있다.,한편 과학기술정보통신부 전날(25일) 오후 7시19분 방송통신재난 위기경보 '주의' 발령하고 24시간 모니터링 체계 유지하고 있다.,모니터링
'상상펀드'는 2011년 출범한 KT G의 사회공헌기금으로 임직원들이 매월 급여의 일정 금액을 자발적으로 기부하면 회사가 동일한 금액을 더하는 매칭 그랜트 형태로 조성된다.,'상상펀드' 2011년 출범한 KT G 사회공헌기금 임직원들 매월 급여 일정 금액 자발적 기부하면 회사 동일한 금액 더하는 매칭 그랜트 형태 조성된다.,매칭 그랜트
"카카오(035720)는 사회공헌 플랫폼 '카카오같이가치'가 경남과 경북, 울산 등지에서 발생한 대형 산불 피해 복구 지원을 위해 운영 중인 긴급 모금 캠페인에 120만 명이 넘는 이용자가 동참했고 현재까지 50억 원 이상의 기부금이 모였다고 27일 밝혔다.","카카오(035720) 사회공헌 플랫폼 '카카오가치' 경남 경북, 울산 등지 발생한 대형 산불 피해 복구 지원 위해 운영 중인 긴급 모금 캠페인 120만 명이 넘는 용자 동참했고 현재 50억 원 이상 기부금 모였다고 27일 밝혔다.",플랫폼
한편 카카오는 지난 2007년 12월부터 누구나 모금과 기부에 참여할 수 있는 사회공헌 플랫폼 '카카오같이가치'를 운영하고 있다.,한편 카카오 지난 2007년 12월 누구 모금 기부 참여할 수 있는 사회공헌 플랫폼 '카카오가치' 운영하고 있다.,플랫폼
개인 고액 기부자 모임인 '희망브리지 아너스클럽' 회원인 그룹 NCT 멤버 마크는 27일 1억원을 기탁했다.,개인 고액 기부자 모임인 '희망브리지 아너스클럽' 회원인 그룹 NCT 멤버 마크 27일 1억원 기탁했다.,마크
김 시장의 '여직원' 발언은 산불 진압을 돕는 장병들에게 감사를 전하기 위함이었지만 온라인 커뮤니티를 통해 확산하며 성차별적 발언을 했다는 지적이 나왔다.,김 시장 '여직원' 발언 산불 진압 돕는 장병들 감사 전하기 위함이었지만 온라인 커뮤니티 통해 확산하며 성차별적 발언 했다는 지적 나왔다.,커뮤니티
한 커뮤니티에서는 김 시장의 발언을 담은 게시글이 92만 조회수를 기록하며 비난이 이어졌다.,한 커뮤니티 김 시장 발언 담은 게시글 92만 조회수 기록하며 비난이 어졌다.,커뮤니티
"카카오는 사회공헌 플랫폼 '카카오같이가치'에서 경남과 경북, 울산 등지에서 발생한 대형 산불 피해 복구 지원을 위해 운영 중인 긴급 모금 캠페인에 120만 명이 넘는 이용자가 동참하고 현재까지 50억 원 이상의 기부금이 모였다고 27일 밝혔다.","카카오 사회공헌 플랫폼 '카카오가치' 경남 경북, 울산 등지 발생한 대형 산불 피해 복구 지원 위해 운영 중인 긴급 모금 캠페인 120만 명이 넘는 용자 동참하고 현재 50억 원 이상 기부금 모였다고 27일 밝혔다.",플랫폼
한편 카카오는 지난 2007년 12월부터 누구나 모금과 기부에 참여할 수 있는 사회공헌 플랫폼 '카카오같이가치'를 운영하고 있다.,한편 카카오 지난 2007년 12월 누구 모금 기부 참여할 수 있는 사회공헌 플랫폼 '카카오가치' 운영하고 있다.,플랫폼
27일 희망브리지 전국재해구호협회(회장 송필호)는 가수 마크가 성금 1억 원을 기부했다고 밝혔다.,27일 희망브리지 전국재해구호협회(회장 송필호) 가수 마크 성금 1억 원 기부했다고 밝혔다.,마크
"마크는 개인 고액 기부자 모임인 '희망브리지 아너스클럽' 회원으로, 그동안 수차례 기부 사실을 알리지 않은 채 조용한 나눔을 이어온 대표적인 기부자다.","마크 개인 고액 기부자 모임인 '희망브리지 아너스클럽' 회원, 그동안 수차례 기부 사실 알리지 않은 채 조용한 나눔 이어온 대표적인 기부자다.",마크
카카오의 사회공헌 플랫폼 '카카오같이가치'는 대형 산불 피해 복구 지원을 위해 운영 중인 긴급 모금 캠페인에 120만 명이 넘는 이용자가 동참하고 현재까지 50억 원 이상의 기부금이 모였다고 27일 밝혔다.,카카오 사회공헌 플랫폼 '카카오가치' 대형 산불 피해 복구 지원 위해 운영 중인 긴급 모금 캠페인 120만 명이 넘는 용자 동참하고 현재 50억 원 이상 기부금 모였다고 27일 밝혔다.,플랫폼
"한편, 카카오는 지난 2007년 12월부터 누구나 모금과 기부에 참여할 수 있는 사회공헌 플랫폼 '카카오같이가치'를 운영하고 있다.","한편, 카카오 지난 2007년 12월 누구 모금 기부 참여할 수 있는 사회공헌 플랫폼 '카카오가치' 운영하고 있다.",플랫폼
이웃들의 커뮤니티 공간인 동네생활 탭에도 산불 피해를 입은 이웃들에게 응원의 메시지를 보낼 수 있는 전용 게시판이 마련됐다.,이웃들 커뮤니티 공간인 동네생활 탭 산불 피해 입은 이웃들 응원 메시지 보낼 수 있는 전용 게시판 마련됐다.,커뮤니티
"구협, 지원금 횡령 논란 확산   대전일보   10년 임대 의무기간 '명암' 누구도 웃지 못하는 제도   동양일보   이재명 1심 뒤집고 2심 무죄  대권가도 탄력   중도일보   충남 외국인 급증에 출입국 업무마비  ""사무소 신설 시급""   중부매일   이재명 '2심 무죄' 대권 가도 리스크 벗었다","구협, 지원금 횡령 논란 확산   대전일보   10년 임대 무기간 '명암' 누구도 웃지 못하는 제도   동양일보   이재명 1심 뒤집고 2심 무죄  대권가 탄력   중일보   충남 외국인 급증 출입국 업무마비  ""사무소 신설 시급""   중부매일   이재명 '2심 무죄' 대권 가 리스크 벗었다",리스크
"충남일보   고환율 트럼프 관세 후폭풍  4월 기업경기 '먹구름'   충북일보   이재명 2심 무죄 대선 가도 청신호   충청도민일보   '사법리스크' 큰 고비 넘긴 이재명 충청권 '야당세' 강해지나   충청매일   헌재, 또 미뤘다","충남일보   고환율 트럼프 관세 후폭풍  4월 기업경기 '먹구름'   충북일보   이재명 2심 무죄 대선 가도 청신호   충청민일보   '사법리스크' 큰 고비 넘긴 이재명 충청권 '야당세' 강해지나   충청매일   헌재, 또 미뤘다",가도
지역생활 커뮤니티 앱(애플리케이션) 당근이 최근 울산 경북 경남 지역 산불로 피해를 입은 이웃들을 돕기 위해 모금 캠페인을 진행한다고 27일 밝혔다.,지역생활 커뮤니티 앱(애플리케이션) 당근 최근 울산 경북 경남 지역 산불 피해 입은 이웃들 돕기 위해 모금 캠페인 진행한다고 27일 밝혔다.,커뮤니티
이웃들의 커뮤니티 공간인 동네생활 탭에도 산불 피해를 입은 이웃들에게 응원의 메시지를 보낼 수 있는 전용 게시판이 마련됐다.,이웃들 커뮤니티 공간인 동네생활 탭 산불 피해 입은 이웃들 응원 메시지 보낼 수 있는 전용 게시판 마련됐다.,커뮤니티
"야간에는 주로 전력 시설, 민가, 다중이용시설, 국가문화유산 등과 같은 중요 보호시설 주변 방화선 구축에 힘써왔습니다.","야간 주로 전력 시설, 민가, 다중이용시설, 국가문화유산 등 같은 중요 보호시설 주변 방화선 구축 힘써왔습니다.",방화선
